gspc_open,gspc_close,xin9_open,xin9_close,pearson_coef,p-value
1,2,1,0,0.5189728417955745,1.0929691726403158e-28
1,2,2,0,0.5324147414013604,2.273273879857133e-30
1,2,3,0,0.5303735433997795,4.139299854658066e-30
1,2,4,0,0.5123943152055974,5.863631963984203e-28
1,2,5,0,0.4495714143323765,3.798560569731741e-21
1,2,6,0,0.42236146052104107,1.3162663991513806e-18
1,2,7,0,0.4075297271280296,2.569774802558815e-17
1,2,8,0,0.36105713522944116,1.1431565773132985e-13
1,2,9,0,0.33507891119683125,7.156122911586594e-12
1,2,10,0,0.3302411164958986,1.4830757895181702e-11
1,2,11,0,0.2986644292797663,1.2695683130363837e-09
1,2,12,0,0.25223145689568865,3.535618294431227e-07
1,2,13,0,0.22709071089573002,4.869558310336333e-06
1,2,14,0,0.20417606703875718,4.156430788324649e-05
1,2,15,0,0.17385623718064214,0.0005020251281705555
1,2,16,0,0.12820062003251098,0.015651296879160035
1,2,17,0,0.21434012099269997,0.01254849269580101
1,2,20,0,0.26548059729838264,0.0025566333069929515
1,2,21,0,0.13225151062800253,0.008330262900703074
1,2,22,0,0.07435095306725936,0.13919150702831778
1,2,23,0,0.1312235388421817,0.008852600229518592
1,3,1,0,0.5006922664528192,1.618581107447975e-26
1,3,2,0,0.5157703078729097,2.6815918631247403e-28
1,3,3,0,0.526292866312785,1.355152208278606e-29
1,3,4,0,0.5142045193273221,3.5501382176771515e-28
1,3,5,0,0.45211360298407316,2.140202471579063e-21
1,3,6,0,0.42218020355687047,1.3661696455240444e-18
1,3,7,0,0.4073784532980711,2.6468552296191928e-17
1,3,8,0,0.3627891727785974,8.557672954795768e-14
1,3,9,0,0.3372906095691485,5.106608638546233e-12
1,3,10,0,0.32922776146099547,1.7248616909497466e-11
1,3,11,0,0.2999934649610302,1.0638093337955292e-09
1,3,12,0,0.25450491182454626,2.7493922919773546e-07
1,3,13,0,0.22865751927329442,4.170038763224569e-06
1,3,14,0,0.2034074683262207,4.44872261911984e-05
1,3,15,0,0.16998474898240354,0.0006713342238263113
1,3,16,0,0.12332245736440828,0.020111727067579122
1,3,17,0,0.1963475424443565,0.02246558460737726
1,3,20,0,0.2793304867682769,0.0014711096096593223
1,3,21,0,0.12149484998234601,0.015430530657075208
1,3,22,0,0.0689816780459062,0.1701410360289579
1,3,23,0,0.12998895817499634,0.00951830020308884
1,4,1,0,0.49172007658560296,1.6885417290941366e-25
1,4,2,0,0.510103769463133,1.2824451457445949e-27
1,4,3,0,0.5227613453134312,3.7336414229277964e-29
1,4,4,0,0.5286482068316305,5.805435133918262e-30
1,4,5,0,0.47724575790660767,5.64519334894553e-24
1,4,6,0,0.4444621753617454,1.1860633899351228e-20
1,4,7,0,0.42861201448233605,3.5977982183152076e-19
1,4,8,0,0.38263243692514687,2.731542321612158e-15
1,4,9,0,0.3555859622958674,2.8206367527050287e-13
1,4,10,0,0.34506570588039587,1.5261923827227328e-12
1,4,11,0,0.3143060291781122,1.495712003055924e-10
1,4,12,0,0.2690700146896425,5.1800350158086305e-08
1,4,13,0,0.24535253940261872,7.457730329636977e-07
1,4,14,0,0.21915744658346456,1.0500745836844348e-05
1,4,15,0,0.18613437063910232,0.00019174537581831985
1,4,16,0,0.13788819115814166,0.009287480744425152
1,4,17,0,0.20427446514905145,0.01747775408938638
1,4,20,0,0.27979684815518346,0.00144326823972169
1,4,21,0,0.1257901414420569,0.012127280679109714
1,4,22,0,0.07632074407782226,0.12898919672843764
1,4,23,0,0.12718671275082985,0.011196820065908697
1,5,1,0,0.4984862683863529,2.8994763128450985e-26
1,5,2,0,0.5164471493855641,2.2200225677649507e-28
1,5,3,0,0.525885200886926,1.5242654390212306e-29
1,5,4,0,0.5333474396801449,1.4584993229674403e-30
1,5,5,0,0.5063144536716826,3.0947434965888398e-27
1,5,6,0,0.47345638572327875,1.426517762768107e-23
1,5,7,0,0.45435241949084654,1.2861418078192695e-21
1,5,8,0,0.4102671456355054,1.5014228675771495e-17
1,5,9,0,0.3834026957178671,2.37821666291313e-15
1,5,10,0,0.36834577265318597,3.3401398018765085e-14
1,5,11,0,0.3281662111225327,2.019320285526648e-11
1,5,12,0,0.28214570774900155,1.0613397821763565e-08
1,5,13,0,0.2613729268975079,1.2672449458656458e-07
1,5,14,0,0.22979173067051878,3.7246725430920506e-06
1,5,15,0,0.1990719068327832,6.496272280034828e-05
1,5,16,0,0.1466243884306875,0.005642810834131924
1,5,17,0,0.2108904709301403,0.01407986754963109
1,5,20,0,0.2846456670643487,0.0011809400284698206
1,5,21,0,0.13464065570225814,0.0072209312842318385
1,5,22,0,0.07874502990615849,0.11723872931489705
1,5,23,0,0.12270149328275286,0.014431020651792678
1,6,1,0,0.5084907721364805,1.9915302548262567e-27
1,6,2,0,0.5205214719175745,7.057224904090901e-29
1,6,3,0,0.5290353093296115,6.117994342377865e-30
1,6,4,0,0.5354353468576563,7.840145734087775e-31
1,6,5,0,0.5038999091356543,5.936663526467742e-27
1,6,6,0,0.48428449160125053,9.781731621921632e-25
1,6,7,0,0.46813384994873053,5.144731903997647e-23
1,6,8,0,0.4259563382825764,6.263273324504616e-19
1,6,9,0,0.3966349349782074,2.0785254805169325e-16
1,6,10,0,0.38044537101543635,4.039733162711774e-15
1,6,11,0,0.3379405457442634,4.6221661410229635e-12
1,6,12,0,0.2899228901209796,3.972501353468385e-09
1,6,13,0,0.2643730365104239,8.971875613552726e-08
1,6,14,0,0.23381050559494268,2.4846491474709355e-06
1,6,15,0,0.20221635530758192,4.940345469868972e-05
1,6,16,0,0.1537093184214196,0.003694142568263406
1,6,17,0,0.21619250418472383,0.01178796273877137
1,6,20,0,0.2749817013227276,0.0017552616574433048
1,6,21,0,0.1488882221026284,0.002941226899732157
1,6,22,0,0.07971365936098564,0.11278477126675523
1,6,23,0,0.12065344959450647,0.016162939029907415
1,7,1,0,0.5028164696720578,9.195846608208282e-27
1,7,2,0,0.5117770531257781,8.10340277896443e-28
1,7,3,0,0.5186939981219119,1.1822542028049196e-28
1,7,4,0,0.5241119629077581,2.1583810505259926e-29
1,7,5,0,0.4878675952983582,3.945227255905457e-25
1,7,6,0,0.4734165576344962,1.4403966709184957e-23
1,7,7,0,0.46930125416964646,3.8905326706651917e-23
1,7,8,0,0.4296062599239825,2.919779435366073e-19
1,7,9,0,0.3987388056312126,1.3964716329501555e-16
1,7,10,0,0.3807589485544908,3.820010307605346e-15
1,7,11,0,0.3382210028389148,4.427262021384376e-12
1,7,12,0,0.2911176774775833,3.406731659816523e-09
1,7,13,0,0.26312321403762245,1.0365457181068235e-07
1,7,14,0,0.23336773730925692,2.5989100518326376e-06
1,7,15,0,0.1996433323571402,6.182900903006511e-05
1,7,16,0,0.15340085412723786,0.003764292866751146
1,7,17,0,0.22501952339193793,0.008692454955962926
1,7,20,0,0.23814354629580486,0.007015449385500291
1,7,21,0,0.15485508527258593,0.001971959849860414
1,7,22,0,0.08707909169462887,0.0831204362865487
1,7,23,0,0.12259365363733225,0.0145179739358002
1,8,1,0,0.48628797753888797,6.754943525572922e-25
1,8,2,0,0.49150787138926477,1.7833464475902563e-25
1,8,3,0,0.49655515483077056,4.8133884115558004e-26
1,8,4,0,0.4995699289484904,1.884906239426312e-26
1,8,5,0,0.4630454784055314,1.7175152223312018e-22
1,8,6,0,0.44864926917557263,4.6718080815658014e-21
1,8,7,0,0.44882209288086733,4.494315855358139e-21
1,8,8,0,0.4427580500672834,1.7266016180204388e-20
1,8,9,0,0.4094429354252079,1.7660417326558942e-17
1,8,10,0,0.38101631467129,3.648469383868437e-15
