"Date","Price","Open","High","Low","Change %"
"Dec 15, 2020","6.5395","6.5436","6.5567","6.5375","-0.17%"
"Dec 14, 2020","6.5508","6.5339","6.5523","6.5339","0.07%"
"Dec 11, 2020","6.5463","6.5367","6.5499","6.5361","0.01%"
"Dec 10, 2020","6.5455","6.5460","6.5543","6.5401","0.03%"
"Dec 09, 2020","6.5435","6.5309","6.5474","6.5204","0.16%"
"Dec 08, 2020","6.5332","6.5351","6.5416","6.5213","0.05%"
"Dec 07, 2020","6.5297","6.5263","6.5429","6.5263","-0.03%"
"Dec 04, 2020","6.5316","6.5406","6.5536","6.5266","-0.17%"
"Dec 03, 2020","6.5429","6.5540","6.5653","6.5418","-0.30%"
"Dec 02, 2020","6.5629","6.5637","6.5689","6.5515","-0.14%"
"Dec 01, 2020","6.5723","6.5777","6.5884","6.5615","-0.10%"
"Nov 30, 2020","6.5789","6.5767","6.5970","6.5726","0.03%"
"Nov 27, 2020","6.5769","6.5750","6.5873","6.5736","0.02%"
"Nov 26, 2020","6.5755","6.5663","6.5783","6.5628","-0.05%"
"Nov 25, 2020","6.5790","6.5940","6.5940","6.5751","-0.19%"
"Nov 24, 2020","6.5915","6.5770","6.5940","6.5742","0.08%"
"Nov 23, 2020","6.5860","6.5545","6.5860","6.5531","0.35%"
"Nov 20, 2020","6.5630","6.5751","6.5836","6.5600","-0.31%"
"Nov 19, 2020","6.5835","6.5634","6.5957","6.5634","0.35%"
"Nov 18, 2020","6.5604","6.5572","6.5655","6.5389","0.06%"
"Nov 17, 2020","6.5565","6.5845","6.5845","6.5456","-0.43%"
"Nov 16, 2020","6.5847","6.5898","6.5922","6.5699","-0.33%"
"Nov 13, 2020","6.6065","6.6176","6.6287","6.6055","-0.10%"
"Nov 12, 2020","6.6129","6.6316","6.6349","6.6117","-0.27%"
"Nov 11, 2020","6.6311","6.6060","6.6327","6.5917","0.23%"
"Nov 10, 2020","6.6156","6.6202","6.6279","6.5969","-0.21%"
"Nov 09, 2020","6.6296","6.5917","6.6312","6.5629","0.27%"
"Nov 06, 2020","6.6115","6.6166","6.6402","6.6098","0.07%"
"Nov 05, 2020","6.6066","6.6418","6.6659","6.6061","-0.70%"
"Nov 04, 2020","6.6535","6.7109","6.7546","6.6535","-0.36%"
"Nov 03, 2020","6.6777","6.6831","6.6985","6.6776","-0.20%"
"Nov 02, 2020","6.6914","6.6935","6.7019","6.6815","-0.02%"
"Oct 30, 2020","6.6927","6.7148","6.7148","6.6795","-0.33%"
"Oct 29, 2020","6.7149","6.7288","6.7288","6.7018","-0.21%"
"Oct 28, 2020","6.7290","6.7151","6.7310","6.7070","0.35%"
"Oct 27, 2020","6.7055","6.7130","6.7252","6.6965","-0.10%"
"Oct 26, 2020","6.7123","6.6809","6.7139","6.6772","0.38%"
"Oct 23, 2020","6.6868","6.6846","6.6951","6.6666","0.03%"
"Oct 22, 2020","6.6845","6.6527","6.6910","6.6474","0.50%"
