Model,RMSE,R2,Accuracy,F1
OLS,0.006162131126593175,-0.04357164870339503,0.5,0.5
MLP,0.011748719215923005,-2.7935118931819654,0.5,0.6666666666666666
Random Forest,0.006550518186925844,-0.17926582836554172,0.5833333333333334,0.6153846153846153
